word	start_time	end_time	raw_prominence	norm_prominence
forfjor	576.860	577.360	9.506	1.000
kjøpte	577.360	577.640	2.176	0.185
ikke	577.640	577.730	0.513	0.000
jens	577.730	578.090	4.359	0.428
bøkene	578.090	578.580	5.035	0.503
siv	580.720	581.130	2.714	0.000
lærte	581.130	581.410	5.842	0.900
aldri	581.410	581.730	6.188	1.000
sjakk	581.730	582.210	2.731	0.005
som	583.520	583.840	2.878	0.121
barn	583.840	584.190	9.539	1.000
lærte	584.190	584.460	4.719	0.364
siv	584.460	584.900	2.948	0.130
aldri	584.930	585.240	5.677	0.490
sjakk	585.240	585.440	1.961	0.000
jeg	587.810	587.930	3.382	0.210
kjøpte	587.930	588.200	2.120	0.000
meg	588.200	588.330	2.507	0.064
bobil	588.330	588.760	8.129	1.000
i	590.780	590.850	0.778	0.000
forgårs	590.850	591.570	10.431	1.000
kjøpte	591.570	591.850	2.568	0.185
jeg	591.850	591.880	1.343	0.059
meg	591.880	592.030	3.045	0.235
bobil	592.030	592.520	6.545	0.597
vi	594.850	595.040	2.761	0.066
forventa	595.040	595.510	8.093	0.626
oss	595.510	595.620	2.135	0.000
ikke	595.620	595.830	2.841	0.074
lønnsøkning	595.830	596.610	11.645	1.000
på	598.010	598.140	1.908	0.000
fredag	598.140	598.590	12.071	1.000
så	598.590	598.750	2.712	0.079
forventa	598.750	599.260	6.939	0.495
vi	599.260	599.400	3.922	0.198
oss	599.400	599.540	2.261	0.035
ikke	599.540	599.750	2.344	0.043
en	599.750	599.860	1.976	0.007
lønnsøkning	599.860	600.630	10.137	0.810
eline	602.480	602.860	9.530	1.000
ringte	602.860	603.160	3.464	0.202
ikke	603.160	603.380	1.924	0.000
kundene	603.380	603.890	4.667	0.361
i	605.600	605.690	0.927	0.000
forgårs	605.690	606.330	11.788	1.000
ringte	606.330	606.650	3.124	0.202
ikke	606.650	606.840	1.334	0.038
eline	606.840	607.200	5.553	0.426
kundene	607.200	607.740	3.799	0.264
jens	609.740	610.180	5.853	0.656
forta	610.180	610.560	5.572	0.510
seg	610.560	610.720	4.598	0.000
hjem	610.720	611.070	6.511	1.000
i	612.720	612.830	1.122	0.000
forfjor	612.830	613.520	15.629	1.000
forta	613.600	614.140	8.363	0.499
jens	614.140	614.500	6.547	0.374
seg	614.500	614.670	3.832	0.187
hjem	614.670	614.990	4.610	0.240
jeg	616.890	617.020	2.588	0.000
snudde	617.020	617.410	6.669	0.907
meg	617.410	617.680	7.090	1.000
ikke	617.680	617.900	2.761	0.038
mot	617.900	618.220	4.957	0.526
publikum	618.220	618.760	7.021	0.985
i	619.990	620.070	1.043	0.000
forfjor	620.070	620.720	14.372	1.000
så	620.720	620.930	2.193	0.086
snudde	620.930	621.340	3.637	0.195
jeg	621.340	621.550	6.093	0.379
ikke	621.550	621.770	1.952	0.068
meg	621.770	622.130	4.068	0.227
mot	622.130	622.520	3.480	0.183
publikum	622.520	623.110	5.202	0.312
siv	625.030	625.530	4.526	0.840
drakk	625.530	625.720	3.464	0.471
opp	625.790	625.960	2.107	0.000
all	625.960	626.160	4.986	1.000
saften	626.160	626.630	4.102	0.693
på	628.250	628.370	1.590	0.000
fredag	628.370	628.820	12.225	1.000
drakk	628.820	629.080	4.610	0.284
siv	629.080	629.500	4.040	0.230
opp	629.500	629.710	2.442	0.080
all	629.710	629.930	5.382	0.357
saften	629.930	630.410	3.150	0.147
johannes	632.620	633.100	6.669	0.368
spiste	633.100	633.400	1.721	0.000
ikke	633.400	633.600	2.581	0.064
blåbærene	633.600	634.270	15.177	1.000
i	635.600	635.700	1.019	0.000
foreba	635.700	636.100	8.277	0.899
i	636.270	636.380	1.051	0.004
forfjor	636.380	636.890	8.117	0.879
spiste	636.890	637.250	2.119	0.136
ikke	637.250	637.580	3.386	0.293
siv	637.610	638.180	3.283	0.280
opp	638.180	638.390	2.775	0.217
blåbærne	638.650	639.250	9.092	1.000
vi	703.010	703.130	1.356	0.000
holdt	703.130	703.390	5.117	0.630
ut	703.390	703.500	1.740	0.064
hele	703.500	703.750	7.325	1.000
kampen	703.750	704.190	5.802	0.745
i	706.300	706.360	0.633	0.000
forgårs	706.360	706.880	10.143	1.000
holdt	706.880	707.160	3.609	0.313
vi	707.160	707.290	1.642	0.106
ut	707.290	707.450	2.951	0.244
hele	707.450	707.740	5.750	0.538
kampen	707.740	708.230	3.522	0.304
jeg	710.380	710.550	2.831	0.016
